CODI_10;ORDENACIO_ALFABETICA;NOM COMPLERT;ADREÇA;MUNICIPI;TELÈFON;FAX;TRACTAMENT;PRESIDENT;NOM;COGNOM1;COGNOM2;PARTIT_POLITIC;SEXE;CÀRREC;GERENT;CIF;COMARCA;CODCOMARCA;PROVINCIA;CODIPROV;CAPICOM;ANY_CENS;CENS;CODITIPUS;SUPERFICIE;ARTICLE;NOMTIPUS;CODIPOSTAL;SECRETARI;HORARI;DISSOLT;SIGLACOM;ALTURA;CODIPARE;TIPUSPARE;NOMPARE;HD;NOM_CAPITAL;E_MAIL;WEB;PARTIT_JUDICIAL;PARTIT_ELECTORAL;GENTILICI;LOCALITAT_CP;DELEGACIO_GOVERN;MUNICAT;AMBIT;SITUA_GEO_MUNICIPI;SITUA_GEO_COMARCA;PLANOL_CARRERS;SALUTACIO;DATA_ACTUALITZACIO
2500190004;Abella de la Conca;Ajuntament d'Abella de la Conca;Espiguet, s/n;Abella de la Conca;973-664198;973-664198;Il·lm. Sr.;Julià Sala Monsó;Julià;Sala;Monsó;ERC-AM;Senyor;Alcalde President;;P2500100I;Pallars Jussà;8102520002;Lleida;8002550006;N;2018;181;2;78,21;;Municipis;25651;;;N;PJ;956;;;;H;Abella de la Conca;ajuntament@abellaconca.ddl.net;http://abellaconca.ddl.net;Tremp;Tremp;;Abella de la Conca;Alt Pirineu i Aran;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500190004;Alt Pirineu i Aran;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25001&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|25&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250019;Benvolgut alcalde;26/07/2019
0800180001;Abrera;Ajuntament d'Abrera;Pl. Constitució, 1;Abrera;93-7700325;93-7702612;Il·lm. Sr.;Jesús Naharro Rodríguez;Jesús;Naharro;Rodríguez;PSC-CP;Senyor;Alcalde President;;P0800100J;Baix Llobregat;8101150006;Barcelona;8000840003;N;2018;12334;2;19,98;    ;Municipis;08630;;;N;BT;105;;;;H;Abrera;informacio@ajuntamentabrera.org;http://www.ajuntamentabrera.cat;Martorell;Sant Feliu de Llobregat;abrerencs;Abrera;Barcelona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=0800180001;Metropolità;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|08001&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|11&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=080018;Benvolgut alcalde;26/07/2019
2500240003;Àger;Ajuntament d'Àger;Pl. Major, 1;Àger;973-455004;973-455203;Il·lma. Sra.;Mireia Burgués Novau;Mireia;Burgués;Novau;JXCAT;Senyora;Alcaldessa Presidenta;;P2500200G;Noguera;8102340003;Lleida;8002550006;N;2018;611;2;161,08;    ;Municipis;25691;;tots els dies de 9h-13h i de 17h-21h;N;NG;642;;;;D;Àger;ajuntament@ager.cat;http://ager.cat;Balaguer;Balaguer;agerencs;Àger;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500240003;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25002&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|23&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250024;Benvolguda alcaldessa;26/07/2019
2500300000;Agramunt;Ajuntament d'Agramunt;Pl. Església, 1;Agramunt;973-390057;973-390040;Il·lm. Sr.;Bernat Solé Barril;Bernat;Solé;Barril;AD'E-AM;Senyor;Alcalde President;;P2500300E;Urgell;8103850006;Lleida;8002550006;N;2018;5393;2;78,3;    ;Municipis;25310;;;N;UR;337;;;;H;Agramunt;ajuntament@agramunt.cat;http://agramunt.cat;Balaguer;Balaguer;agramuntins;Agramunt;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500300000;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25003&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|38&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250030;Benvolgut alcalde;26/07/2019
0800230008;Aguilar de Segarra;Ajuntament d'Aguilar de Segarra;Raval, s/n;Aguilar de Segarra;93-8366080;93-8366080;Il·lm. Sr.;Pere Aliaguilla Arnao;Pere;Aliaguilla;Arnao (independent);JUNTS;Senyor;Alcalde President;;P0800200H;Bages;8100750006;Barcelona;8000840003;N;2018;277;2;43,14;    ;Municipis;08256;;;N;BG;480;;;;H;Aguilar de Segarra;aguilar@diba.cat;http://www.aguilardesegarra.cat;Manresa;Manresa;aguilanencs;Aguilar de Segarra;Catalunya Central;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=0800230008;Comarques Centrals;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|08002&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|07&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=080023;Benvolgut alcalde;26/07/2019
1700100000;Agullana;Ajuntament d'Agullana;Lluís Gomis, 2;Agullana;972-535206;972-535086;Il·lma. Sra.;Josep Jovell Pujulà;Marina;Gutés;Serra;ERC-AM;Senyora;Alcaldessa Presidenta;;P1700100I;Alt Empordà;8100220002;Girona;8001760009;N;2018;841;2;27,49;    ;Municipis;17707;;de dilluns a divendres de 8h a 15h;N;AE;166;;;;D;Agullana;ajuntament@agullana.cat;http://www.agullana.cat;Figueres;Figueres;agullanencs;Agullana;Girona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700100000;Comarques Gironines;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17001&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|02&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170010;Benvolguda alcaldessa;26/07/2019
0801420002;Aiguafreda;Ajuntament d'Aiguafreda;Pl. Ajuntament, s/n;Aiguafreda;93-8442253;93-8442185;Il·lm. Sr.;Miquel Parella Codina;Miquel;Parella;Codina;JUNTS;Senyor;Alcalde President;;P0801400C;Vallès Oriental;8104190004;Barcelona;8000840003;N;2018;2501;2;8;    ;Municipis;08591;;;N;VR;404;;;;H;Aiguafreda;aiguafreda@aiguafreda.cat;http://www.aiguafreda.cat;Granollers;Granollers;aiguafredencs;Aiguafreda;Barcelona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=0801420002;Metropolità;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|08014&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|41&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=080142;Benvolgut alcalde;26/07/2019
4300170005;Aiguamúrcia;Ajuntament d'Aiguamúrcia;Pl. Sant Bernat, 1;Aiguamúrcia;977-638301;977-638301;Il·lma. Sra.;Dolors Palma Raposo;Dolors;Palma;Raposo;ERC-AM;Senyora;Alcaldessa Presidenta;;P4300100G;Alt Camp;8100170005;Tarragona;8004330008;N;2018;893;2;73,1;    ;Municipis;43815;;Tots els dies de 8 a 15;N;AC;314;;;;D;Santes Creus;aj.aiguamurcia@altanet.org;http://www.aiguamurcia.cat;El Vendrell;El Vendrell;aiguamurciencs;Santes Creus (Aiguamúrcia);Tarragona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=4300170005;Camp de Tarragona;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|43001&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|01&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=430017;Benvolguda alcaldessa;26/07/2019
1700250006;Aiguaviva;Ajuntament d'Aiguaviva;Pl. Constitucional, 1;Aiguaviva;972235007;972235461;Il·lm. Sr.;Josep Pinsach Riera;Josep;Pinsach;Riera;ERC-AM;Senyor;Alcalde President;;P1700200G;Gironès;8102060009;Girona;8001760009;N;2018;767;2;13,97;    ;Municipis;17181;;dilluns a divendres 8h-14h / dimarts i dijous 16h-19h;N;GN;169;;;;H;Aiguaviva;alcalde@aiguaviva.info;http://www.aiguaviva.info;Girona;Girona;;Aiguaviva;Girona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700250006;Comarques Gironines;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17002&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|20&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170025;Benvolgut alcalde;26/07/2019
2503870005;Aitona;Ajuntament d'Aitona;Major, 6;Aitona;973-794010;973-794500;Il·lma. Sra.;Rosa Pujol Esteve;Rosa;Pujol;Esteve;JxCAT-JUNT;Senyora;Alcaldessa Presidenta;;P2504600D;Segrià;8103320002;Lleida;8002550006;N;2018;2545;2;67,3;    ;Municipis;25182;;;N;SI;110;;;;D;Aitona;ajuntament@ajuntamentaitona.cat;http://www.aitona.cat;Lleida;Lleida;aitonencs;Aitona;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2503870005;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25038&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250387;Benvolguda alcaldessa;26/07/2019
